adm4_code,name,lat,lon
31.01.01.1001,Pulau Panggang,-5.7337889508,106.5900424295
31.01.01.1002,Pulau Kelapa,-5.6448447514,106.5623672001
31.01.01.1003,Pulau Harapan,-5.5338572717,106.5442175002
31.01.02.1001,Pulau Untung Jawa,-5.9817785809,106.7386440666
31.01.02.1002,Pulau Tidung,-5.8040797487,106.5137013907
31.01.02.1003,Pulau Pari,-5.8988923365,106.5976125494
31.71.01.1001,Gambir,-6.1763842693,106.8267073562
31.71.01.1002,Cideng,-6.1729803095,106.8083108207
31.71.01.1003,Petojo Utara,-6.1653537828,106.8152994496
31.71.01.1004,Petojo Selatan,-6.1747707618,106.8164079731
31.71.01.1005,Kebon Kelapa,-6.1641506144,106.8245499748
31.71.01.1006,Duri Pulo,-6.1633807999,106.8045824645
31.71.02.1001,Pasar Baru,-6.1660294705,106.8344840159
31.71.02.1002,Karang Anyar,-6.1539747814,106.829135432
31.71.02.1003,Kartini,-6.1532451786,106.8331180859
31.71.02.1004,Gunung Sahari Utara,-6.1492153696,106.838283317
31.71.02.1005,Mangga Dua Selatan,-6.1420749004,106.8282602569
31.71.03.1001,Kemayoran,-6.1647214778,106.8453837867
31.71.03.1002,Kebon Kosong,-6.1581959981,106.8534618082
31.71.03.1003,Harapan Mulia,-6.1705125921,106.8558669703
31.71.03.1004,Serdang,-6.1589130143,106.8611464975
31.71.03.1005,Gunung Sahari Selatan,-6.159342361,106.8440179236
31.71.03.1006,Cempaka Baru,-6.168108425,106.8627791741
31.71.03.1007,Sumur Batu,-6.1634901752,106.8710472619
31.71.03.1008,Utan Panjang,-6.1653544251,106.8543262218
31.71.04.1001,Senen,-6.1761013534,106.839631642
31.71.04.1002,Kenari,-6.1935600025,106.8466834727
31.71.04.1003,Paseban,-6.1933914752,106.8525872507
31.71.04.1004,Kramat,-6.1834864061,106.8463204376
31.71.04.1005,Kwitang,-6.1831837632,106.8401935466
31.71.04.1006,Bungur,-6.1715713778,106.8479715068
31.71.05.1001,Cempaka Putih Timur,-6.1760002173,106.8717491533
31.71.05.1002,Cempaka Putih Barat,-6.1799298313,106.8638457949
31.71.05.1003,Rawasari,-6.1904466279,106.8660465089
31.71.06.1001,Menteng,-6.2008966998,106.8339205917
31.71.06.1002,Pegangsaan,-6.2019646044,106.8480721673
31.71.06.1003,Cikini,-6.1914493308,106.8393879907
31.71.06.1004,Gondangdia,-6.191796111,106.8294358917
31.71.06.1005,Kebon Sirih,-6.1850868876,106.8307525734
31.71.07.1001,Gelora,-6.2162588827,106.8015053396
31.71.07.1002,Bendungan Hilir,-6.2086307268,106.8090417772
31.71.07.1003,Karet Tengsin,-6.2070666249,106.8165515144
31.71.07.1004,Petamburan,-6.1968756629,106.8060016858
31.71.07.1005,Kebon Melati,-6.1970527199,106.8159682396
31.71.07.1006,Kebon Kacang,-6.1902993161,106.8172019459
31.71.07.1007,Kampung Bali,-6.1851877525,106.8161345799
31.71.08.1001,Johar Baru,-6.1856986479,106.8570296451
31.71.08.1002,Kampung Rawa,-6.1795035696,106.8555132298
31.71.08.1003,Galur,-6.1761707878,106.8554363039
31.71.08.1004,Tanah Tinggi,-6.1792260733,106.8492486934
31.72.01.1001,Penjaringan,-6.1220449172,106.8000217808
31.72.01.1002,Kamal Muara,-6.104372403,106.7383356354
31.72.01.1003,Kapuk Muara,-6.1221249033,106.7632853652
31.72.01.1004,Pejagalan,-6.1358065847,106.78482745
31.72.01.1005,Pluit,-6.1140802563,106.7864676614
31.72.02.1001,Tanjung Priok,-6.1088734921,106.8791491018
31.72.02.1002,Sunter Jaya,-6.1513538194,106.8768126016
31.72.02.1003,Papanggo,-6.1290061746,106.8711087672
31.72.02.1004,Sungai Bambu,-6.1307402557,106.8862243284
31.72.02.1005,Kebon Bawang,-6.1193723444,106.8890194987
31.72.02.1006,Sunter Agung,-6.1380820517,106.8620890538
31.72.02.1007,Warakas,-6.121830067,106.8777822615
31.72.03.1001,Koja,-6.1057833599,106.8991154329
31.72.03.1002,Tugu Utara,-6.1242767456,106.9123442928
31.72.03.1003,Lagoa,-6.1139974365,106.9106191331
31.72.03.1004,Rawa Badak Utara,-6.1196127558,106.8978931099
31.72.03.1005,Tugu Selatan,-6.1354086569,106.9103454375
31.72.03.1006,Rawa Badak Selatan,-6.1323066586,106.898685333
31.72.04.1001,Cilincing,-6.110745823,106.9451542193
31.72.04.1002,Sukapura,-6.1479604672,106.9279726017
31.72.04.1003,Marunda,-6.1133749244,106.9613245486
31.72.04.1004,Kalibaru,-6.0949268445,106.9159790971
31.72.04.1005,Semper Timur,-6.1206119912,106.933252382
31.72.04.1006,Rorotan,-6.1453220884,106.9552651059
31.72.04.1007,Semper Barat,-6.1259679434,106.9242595928
31.72.05.1001,Pademangan Timur,-6.1423284406,106.8478070056
31.72.05.1002,Pademangan Barat,-6.1349267778,106.836764589
31.72.05.1003,Ancol,-6.1239424467,106.8342587353
31.72.06.1001,Kelapa Gading Timur,-6.1683991669,106.9036071514
31.72.06.1002,Pegangsaan Dua,-6.1640868321,106.9147168823
31.72.06.1003,Kelapa Gading Barat,-6.1555237875,106.8952691427
31.73.01.1001,Cengkareng Barat,-6.1386770759,106.7237909972
31.73.01.1002,Duri Kosambi,-6.1700106382,106.7192375391
31.73.01.1003,Rawa Buaya,-6.1628713557,106.736389151
31.73.01.1004,Kedaung Kali Angke,-6.1525694961,106.7585760154
31.73.01.1005,Kapuk,-6.14218647,106.7540659162
31.73.01.1006,Cengkareng Timur,-6.1412819646,106.7356471704
31.73.02.1001,Grogol,-6.1618468053,106.7943252999
31.73.02.1002,Tanjung Duren Utara,-6.1728186511,106.7832724594
31.73.02.1003,Tomang,-6.1717389966,106.7964739659
31.73.02.1004,Jelambar,-6.1593992294,106.7857628101
31.73.02.1005,Tanjung Duren Selatan,-6.1793524454,106.78859556
31.73.02.1006,Jelambar Baru,-6.149094508,106.7872269943
31.73.02.1007,Wijaya Kusuma,-6.15482147,106.7759088243
31.73.03.1001,Taman Sari,-6.1535766841,106.8245312411
31.73.03.1002,Krukut,-6.1569581403,106.8149936685
31.73.03.1003,Maphar,-6.1560125776,106.8211723383
31.73.03.1004,Tangki,-6.1461971374,106.8231366824
31.73.03.1005,Mangga Besar,-6.1448001478,106.8183061627
31.73.03.1006,Keagungan,-6.1511708957,106.814278139
31.73.03.1007,Glodok,-6.144977469,106.8132141313
